Title,Genres,Keywords,Tagline,Cast,Director
Avatar,Action Adventure Fantasy,alien future planet,Enter the world of Pandora,Sam Worthington Zoe Saldana,James Cameron
Titanic,Drama Romance,love tragedy ship,Nothing on Earth could come between them,Leonardo DiCaprio Kate Winslet,James Cameron
The Avengers,Action Sci-Fi,heroes aliens,Earth's mightiest heroes,Robert Downey Jr Chris Evans,Joss Whedon
Inception,Action Sci-Fi,dream heist mind,Your mind is the scene of the crime,Leonardo DiCaprio Joseph Gordon-Levitt,Christopher Nolan
The Matrix,Sci-Fi Action,simulation hacker,Welcome to the real world,Keanu Reeves Laurence Fishburne,Lana Wachowski Lilly Wachowski
Interstellar,Sci-Fi Adventure,space time wormhole,Mankind was born on Earth. It was never meant to die here.,Matthew McConaughey Anne Hathaway,Christopher Nolan
Jurassic Park,Adventure Sci-Fi,dinosaurs park,Life finds a way,Sam Neill Jeff Goldblum,Steven Spielberg
The Dark Knight,Action Crime,joker chaos,Welcome to a world without rules,Christian Bale Heath Ledger,Christopher Nolan
Iron Man,Action Sci-Fi,suit technology,Heroes aren't born. They're built.,Robert Downey Jr Gwyneth Paltrow,Jon Favreau
Guardians of the Galaxy,Action Adventure Sci-Fi,space heroes,All heroes start somewhere,Chris Pratt Zoe Saldana,James Gunn
Star Wars,Sci-Fi Adventure,space force,A long time ago in a galaxy far far away,Mark Hamill Harrison Ford,George Lucas
The Lion King,Animation Family,animals king,The greatest adventure of all,Matthew Broderick Jeremy Irons,Roger Allers Rob Minkoff
